UNITID,Year,INTUTIONFEE,OUTTUTIONFEE,BOOKSUPPLY,ONCAMROOM,ONCAMOTHEXP,OFFCAMROOM,OFFCAMOTHEXP
121150,2016,50022,50022,1500,14330,2500,14330,2500
121309,2016,33500,33500,1790,9950,3166,12492,4158
121691,2016,46570,46570,1775,13480,3168,12492,4156
122409,2016,7084,18244,1818,14812,2880,12050,3296
122436,2016,46140,46140,1800,12302,3168,12492,4158
122454,2016,43090,43090,1791,15415,6156,17765,7146
122506,2016,43410,43410,950,15700,3000,15700,3000
122597,2016,6484,17644,1900,13882,2966,13882,2966
122612,2016,44494,44494,1600,13990,3800,13990,3800
122728,2016,28700,28700,1791,10650,3168,12492,4158
122755,2016,7418,18578,1899,14867,2855,13882,2925
122931,2016,47112,47112,1791,13965,3168,12492,4158
123165,2016,50982,50982,800,15682,1000,.,.
123280,2016,12160,12160,900,3958,4504,9918,6461
123457,2016,26050,26050,1592,7950,3012,11104,3892
123554,2016,44360,44360,1107,14880,2700,12240,3170
123572,2016,7388,18548,1790,13146,2854,13882,2924
123651,2016,31430,31430,1400,9310,3200,4410,4600
123961,2016,52283,52283,1200,14348,1880,14348,1880
125763,2016,44774,44774,800,12902,1189,7668,1145
125897,2016,37906,37906,1800,11133,3168,12492,4158
126182,2016,9153,20169,1800,8550,2763,9693,2763
126562,2016,9228,24924,1800,.,.,11205,5193
126580,2016,8042,18770,1800,9900,4600,10400,4600
126614,2016,11531,35079,1800,13590,2294,11788,2294
126669,2016,29360,29360,1000,10316,1600,8910,1600
126678,2016,50892,50892,1248,11668,2592,11668,2592
126775,2016,17842,36172,1500,11477,1865,9072,2610
126818,2016,11080,28374,1200,11862,2260,9694,2260
127060,2016,46422,46422,1200,12021,2634,12021,2634
127185,2016,8104,17816,1208,10904,5308,8616,5308
127556,2016,7835,18996,1560,10560,2764,9996,2764
127653,2016,31170,31170,1256,9965,5194,11656,5194
127741,2016,8888,20474,1350,10770,2610,9692,3212
127918,2016,34450,34450,1800,10210,2756,9694,3272
128106,2016,9519,24101,1140,9910,4340,9693,4340
128391,2016,9193,20497,1300,9446,2763,9693,2763
128498,2016,30526,30526,1000,14016,5988,12265,6776
128744,2016,31630,31630,1500,13320,7168,8520,10208
128771,2016,9741,22602,1300,11462,2712,10503,3671
129020,2016,14066,35858,850,12436,2650,12436,2650
129154,2016,20400,20400,1000,6300,5772,9514,8106
129215,2016,10500,23361,1000,12559,2251,9456,2497
129242,2016,46000,46000,1150,13860,1730,13860,1730
129525,2016,37790,37790,972,11986,2382,11986,2806
129534,2016,7750,7750,400,2730,11790,9000,500
129941,2016,37060,37060,1000,15130,1660,11468,2760
130183,2016,16510,16510,1200,11600,2500,8000,3750
130226,2016,43940,43940,800,15170,2000,13850,2500
130253,2016,38300,38300,1200,14450,2650,10462,3150
130314,2016,36870,36870,1000,10750,1276,10750,2644
130493,2016,10054,22915,1400,10087,1467,10087,3816
130590,2016,52760,52760,1000,13680,1500,13680,1500
130697,2016,50912,50912,1200,13950,1465,.,.
130776,2016,10017,22878,1300,11884,2238,11884,2920
130794,2016,49480,49480,3580,15170,720,.,.
130934,2016,7532,16138,1700,10607,2219,12303,5664
130943,2016,12830,32250,800,12068,1500,12068,1500
130989,2016,23400,23400,1297,7699,5650,6632,5650
131098,2016,25646,25646,2000,11244,2200,11244,2400
131159,2016,44853,44853,800,15698,921,15698,921
131283,2016,42536,42536,838,13820,3268,13820,3268
131450,2016,16078,16078,1600,13040,5500,13040,5500
131469,2016,51950,51950,1275,12500,1500,12500,1900
131496,2016,50547,50547,1200,14962,2604,.,.
131520,2016,24908,24908,1500,13280,1800,.,.
131876,2016,23250,23250,1040,10334,2140,11440,2660
132408,2016,10800,10800,950,4138,2000,8718,2000
132471,2016,28800,28800,1500,10800,4740,11400,7700
132602,2016,14410,14410,1450,8560,3000,9600,4200
132657,2016,36650,36650,800,11640,4912,11608,5783
132879,2016,14270,14270,1000,5600,1712,8100,2718
132903,2016,6368,22467,1152,9764,4970,9764,4970
133553,2016,33886,33886,1400,10826,4458,10826,4458
133650,2016,5785,17725,1138,10058,5439,9636,6313
133669,2016,4831,17276,1320,12006,4488,11364,5718
133711,2016,17500,17500,1000,10120,3600,9400,3600
133872,2016,13480,13480,2310,6126,4640,11270,4640
133881,2016,40446,40446,1200,13610,3000,13610,3000
133951,2016,6556,18954,1590,10846,4520,11837,5354
133979,2016,15536,15536,2300,6734,3800,10000,4800
134079,2016,33150,33150,1244,10680,2626,10680,2626
134097,2016,6507,21673,1000,10304,4764,10304,4764
134130,2016,6381,28659,1210,9910,3750,9890,3750
134510,2016,6320,6320,500,6000,2600,6000,2600
134945,2016,33930,33930,1320,13550,2713,16740,3524
135726,2016,47004,47004,930,13310,3062,16490,3062
136172,2016,6394,20798,1200,9772,3844,9934,3834
136215,2016,28736,28736,1500,11540,5560,19125,8010
136330,2016,28520,28520,1030,9300,5154,8776,5678
136950,2016,46520,46520,1250,14450,5000,11720,4912
137032,2016,21440,21440,1720,11680,2552,11680,2552
137272,2016,21100,21100,800,11000,4000,.,.
137351,2016,6410,17324,1200,9700,4100,9700,4100
137476,2016,28800,28800,850,11700,7104,13997,8448
137546,2016,43240,43240,1200,12326,3000,12326,3000
137564,2016,24160,24160,1600,9724,2400,3500,2400
137777,2016,13250,13250,900,8000,4500,11000,6000
137847,2016,27740,27740,1500,10196,3280,6500,3630
138275,2016,20712,20712,1700,7510,2800,9704,8267
138293,2016,25358,25358,1230,8942,4766,8514,4766
138354,2016,6360,19241,1200,9354,2100,9354,2100
